theme,description,profile_link,author,github_stars,updated,license,theme_tags,theme-repo,theme-ref
Jane,A readable theme for Hugo,https://d33wubrfki0l68.cloudfront.net/b326bbc8baa7bf7f1894faa143dac48f2488f2fa/3bcba/themes/hugo-theme-jane/screenshot_hue86ec56387d55a4e982f80cc54614468_206579_750x500_fill_catmullrom_top_2.png,xianmin,715,2021-01-08,MIT,"['Blog', 'Multilingual', 'Responsive']",https://github.com/kentcdodds/all-contributors,https://themes.gohugo.io/themes/hugo-theme-jane/
Introduction,"Minimal, single page, smooth scrolling theme for Hugo.",https://d33wubrfki0l68.cloudfront.net/be8da49e4033dd59736eea6112b49aa1f7aaf135/501e3/themes/hugo-theme-introduction/screenshot_hu7fed753caf8a2a6ad6262e8be1d6130c_36860_750x500_fill_catmullrom_top_2.png,Victoria Drake,509,2020-12-31,Apache-2.0,"['Blog', 'Dark', 'Gallery', 'Landing', 'Light', 'Minimal', 'Multilingual', 'Personal', 'Responsive']",https://github.com/victoriadrake/hugo-theme-introduction/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-theme-introduction/
Mainroad,"Mainroad is a responsive, clean and content-focused Hugo theme.",https://d33wubrfki0l68.cloudfront.net/48f0a4f919e7d68c4caa5017889d9b8a94b4450c/aa11e/themes/mainroad/screenshot_huee825d547a3ef90d10d2c8b85b279346_58734_750x500_fill_catmullrom_top_2.png,Vimux,594,2021-11-17,GPLv2,"['Blog', 'Light', 'Multilingual', 'Responsive']",https://github.com/Vimux/mainroad/blob/master/LICENSE.md,https://themes.gohugo.io/themes/mainroad/
Hyde,An elegant open source and mobile first theme,https://d33wubrfki0l68.cloudfront.net/1790b14c6a38194d194a0f1ac159d99442511462/1e6bb/themes/hyde/screenshot_hu19678d06d66c484f2fad34474a0e2788_447363_750x500_fill_catmullrom_top_2.png,spf13,468,2021-04-02,MIT,"['Blog', 'Company']",https://github.com/poole/hyde/blob/master/public/css/hyde.css,https://themes.gohugo.io/themes/hyde/
Toha,A simple hugo theme for personal portfolio,https://d33wubrfki0l68.cloudfront.net/220b38d54fb7fd652b24bb85c40310243d266694/527ee/themes/toha/screenshot_hub7ea033b332a39cbcdf00b600fe50644_653282_750x500_fill_catmullrom_top_2.png,Emruz Hossain,416,2021-11-18,MIT,"['Blog', 'Bootstrap', 'Gallery', 'Minimal', 'Multilingual', 'Portfolio', 'Responsive']",https://github.com/hugo-toha/toha,https://themes.gohugo.io/themes/toha/
mini,"A fast, minimalist and responsive hugo theme for bloggers.",https://d33wubrfki0l68.cloudfront.net/1e4cbe6fec59b3914ce0fc6a99071b4d34006711/f82c2/themes/hugo-theme-cactus-plus/screenshot_hu625376a94b3b6fe17683c8b45cf00afb_81906_750x500_fill_catmullrom_top_2.png,nodejh,441,2021-08-22,MIT,"['Blog', 'Minimal', 'Responsive']",https://github.com/nodejh/hugo-theme-mini/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-theme-cactus-plus/
reveal-hugo,nil,https://d33wubrfki0l68.cloudfront.net/28e65fca13a511b245abfc8d453d071d619f74e8/2bf70/themes/reveal-hugo/screenshot_hufba80f1692146801cdf530a50d622667_89054_750x500_fill_catmullrom_top_2.png,Josh Dzielak,436,2021-04-13,MIT,,https://github.com/guilhem/devops-training,https://themes.gohugo.io/themes/reveal-hugo/
Universal,A port of the Universal theme,https://d33wubrfki0l68.cloudfront.net/55a171f6bb586dc61e65c22df38da2d21d042a13/13a60/themes/hugo-universal-theme/screenshot_hua1df499e3edae9b1ae7894f6a324d4a4_712959_750x500_fill_catmullrom_top_2.png,adrianmo,526,2021-11-09,MIT,"['Blog', 'Company', 'Minimal', 'Portfolio', 'Responsive']",https://github.com/devcows/hugo-universal-theme/pulls,https://themes.gohugo.io/themes/hugo-universal-theme/
Ananke Gohugo Theme,A Base theme for building full featured Hugo sites,https://d33wubrfki0l68.cloudfront.net/694a66ea9b208372e97ed517a8d91294b1d64071/b0261/themes/gohugo-theme-ananke/screenshot_hu05e872823bf4dc022f268827105dd45c_394121_750x500_fill_catmullrom_top_2.png,theNewDynamic,653,2020-10-28,MIT,"['Blog', 'Multilingual', 'Responsive']",https://github.com/theNewDynamic/gohugo-theme-ananke/blob/master/layouts/index.html#L32,https://themes.gohugo.io/themes/gohugo-theme-ananke/
DocuAPI,Beautiful documentation for your API.,https://d33wubrfki0l68.cloudfront.net/1dbffa8782c3058bd588d235fad1002db91aa10d/2d7d1/themes/v2/screenshot_hu1482b0a24b24cacbe610ec7acbd89f13_72365_750x500_fill_catmullrom_top_2.png,Bjørn Erik Pedersen,549,2021-11-16,Apache-2.0,"['Api', 'Docs', 'Multilingual', 'Responsive']",https://github.com/bep/docuapi/blob/master/exampleSite/config.toml,https://themes.gohugo.io/themes/v2/
Zzo,Hugo blog theme with rich features.,https://d33wubrfki0l68.cloudfront.net/8e3450dbf183711d4521b9bfe7f8266e839fcabb/6cdbc/themes/hugo-theme-zzo/screenshot_hu5ccd3d7efa92df8ae2d40f651b739f0d_104168_750x500_fill_catmullrom_top_2.png,zzossig,545,2021-05-23,MIT,"['Blog', 'Dark', 'Gallery', 'Light', 'Multilingual', 'Responsive']",https://github.com/zzossig/hugo-theme-zzo/blob/master/README.ko.md,https://themes.gohugo.io/themes/hugo-theme-zzo/
Eureka,Eureka is a feature-rich and highly customizable Hugo theme.,https://d33wubrfki0l68.cloudfront.net/96436ed90fc20b83f941df1014d3311258efba4f/337e8/themes/hugo-eureka/screenshot_huaefeb46c66acebb8c8c77ff0b0454b2a_95593_750x500_fill_catmullrom_top_2.png,C. Wang,476,2021-11-10,Apache 2.0,"['Blog', 'Dark', 'Docs', 'Light', 'Multilingual', 'Personal', 'Responsive']",https://github.com/wangchucheng/hugo-eureka/,https://themes.gohugo.io/themes/hugo-eureka/
Minimo,Minimalist theme for Hugo,https://d33wubrfki0l68.cloudfront.net/a3b5d4937fd01c269e7af91aa5a8bc08c208a6b1/2837a/themes/minimo/screenshot_hufac06538aeefc053a28a7d8381729205_105425_750x500_fill_catmullrom_top_2.png,Munif Tanjim,493,2020-07-18,MIT,"['Blog', 'Minimal', 'Responsive']",https://github.com/colebemis/feather/blob/master/LICENSE,https://themes.gohugo.io/themes/minimo/
Doks,"Hugo theme helping you build modern documentation websites that are secure, fast, and SEO-ready — by default.",https://d33wubrfki0l68.cloudfront.net/dac1b3649f9f89ef1446dd7599f7e3441df266ae/700a5/themes/doks/screenshot_hu9f6b95cd697334bd227c6f3e04d70957_121933_750x500_fill_catmullrom_top_2.png,Henk Verlinde,695,2021-10-05,MIT,"['Blog', 'Bootstrap', 'Dark Mode', 'Docs', 'Landing', 'Minimal']",https://github.com/h-enk/doks/discussions,https://themes.gohugo.io/themes/doks/
MemE,MemE is a powerful and highly customizable GoHugo theme for personal blogs.,https://d33wubrfki0l68.cloudfront.net/db3a081ef50e45af1e648ea992e2efba8c588fca/36dff/themes/hugo-theme-meme/screenshot_hue212e1216a974906549ad8cffb47725f_170233_750x500_fill_catmullrom_top_2.png,reuixiy,598,2020-06-24,MIT,"['Blog', 'Minimal', 'Multilingual']",https://github.com/reuixiy/hugo-theme-meme/issues/2,https://themes.gohugo.io/themes/hugo-theme-meme/
XMin,"eXtremely Minimal Hugo theme: about 150 lines of code in total, including HTML and CSS",https://d33wubrfki0l68.cloudfront.net/f61a0b039a044b3065ef29d4e5dc2c3713246d40/9aa80/themes/hugo-xmin/screenshot_hu56ca8754dded783b3a2a3aaa71794d25_37151_750x500_fill_catmullrom_top_2.png,Yihui Xie,388,2021-11-16,MIT,"['Blog', 'Minimal', 'Personal']",https://github.com/yihui/hugo-xmin,https://themes.gohugo.io/themes/hugo-xmin/
Archie,Archie is a minimal and clean theme for hugo with a markdown-ish UI.,https://d33wubrfki0l68.cloudfront.net/9a31ee1e5c9b7d6acbd29580c8691eea4cc62f85/5bf08/themes/archie/screenshot_hu8242e3e9ab7a87e68cc001425a41cc5b_207481_750x500_fill_catmullrom_top_2.png,Athul Cyriac Ajay,352,2021-09-25,MIT,"['Blog', 'Minimal', 'Personal', 'Responsive']",https://github.com/vividvilla/ezhil,https://themes.gohugo.io/themes/archie/
Hugo Future Imperfect,"Ported theme of HTML5 UP, future imperfect, with some extra goodies",https://d33wubrfki0l68.cloudfront.net/4c91d62382c310238bdf7b2aca0da415e735199c/a12dc/themes/hugo-future-imperfect/screenshot_hu08bbfa3380a3ff76fb20b525ece6d69d_393195_750x500_fill_catmullrom_top_2.png,Julio Pescador,308,2018-02-27,MIT,"['Blog', 'Responsive', 'recent release of Hugo.', 'Version Configuration', 'tag a new version.']",https://github.com/jpescador/hugo-future-imperfect/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-future-imperfect/
Hugo Fresh,A Hugo adaptation of the Fresh theme from CSS Ninja,https://d33wubrfki0l68.cloudfront.net/759b7396fd8035fb2d147f63abad98ba7d401a31/552ae/themes/hugo-fresh/screenshot_hu59575f96195d76c58e16ef86a2d7af31_99859_750x500_fill_catmullrom_top_2.png,Stefan M.,345,2021-02-16,MIT,"['Company', 'Landing', 'Light', 'Responsive']",https://github.com/StefMa/hugo-fresh,https://themes.gohugo.io/themes/hugo-fresh/
Cactus,"A clean, responsive hugo theme for personal blog. Forked from hexo theme cactus created by @probberechts.",https://d33wubrfki0l68.cloudfront.net/7d499438f56f15f5fd8eaac847b13e6e597c6182/fc7b8/themes/hugo-theme-cactus/screenshot_huedeb95feac8c0c181c49db2a5b2f3487_147349_750x500_fill_catmullrom_top_2.png,Zeran Wu,286,2021-08-31,MIT,"['Blog', 'Responsive']",https://github.com/probberechts/hexo-theme-cactus,https://themes.gohugo.io/themes/hugo-theme-cactus/
Clarity,A theme based on VMware's Clarity Design System for publishing technical blogs with Hugo.,https://d33wubrfki0l68.cloudfront.net/a631041fe27cfae085eb26c1ccf61d4f2e9e18af/27c09/themes/hugo-clarity/screenshot_hu2cd54450b592ee9d02acbc9f938e02d8_124394_750x500_fill_catmullrom_top_2.png,Chip Zoller,276,2021-10-18,MIT,"['Blog', 'Dark']",https://github.com/KaTeX/KaTeX/tree/master/contrib/mhchem,https://themes.gohugo.io/themes/hugo-clarity/
Minimal,Personal blog theme powered by Hugo,https://d33wubrfki0l68.cloudfront.net/e5b40c63a74a075f99ac760891473af73a203e81/d2dbb/themes/minimal/screenshot_hu58f107a72345a24a50cc13bb6e35a0d1_46775_750x500_fill_catmullrom_top_2.png,Calin Tataru,361,2021-01-03,MIT,"['Blog', 'Minimal', 'Personal', 'Responsive']",https://github.com/calintat/minimal,https://themes.gohugo.io/themes/minimal/
Blackburn,"A clear, responsive theme constructed using Pure CSS from Yahoo",https://d33wubrfki0l68.cloudfront.net/b35a63a87dbd19e40d983099a31647164eff018d/ef668/themes/blackburn/screenshot_hu96b78b2397b09d65dc28b30e64323e3b_122209_750x500_fill_catmullrom_top_2.png,Yoshiharu Yamashita,294,2021-10-14,MIT,"['Blog', 'Personal', 'Responsive']",https://github.com/yoshiharuyamashita/blackburn,https://themes.gohugo.io/themes/blackburn/
Hugo Future Imperfect Slim,Future Imperfect Theme - Slimmed Down,https://d33wubrfki0l68.cloudfront.net/015c6c3e03db504fc204314127ee397c19fec61b/5d5ce/themes/hugo-future-imperfect-slim/screenshot_hu0b1bd11905bfa7fe1fe498219ace40f8_788461_750x500_fill_catmullrom_top_2.png,Patrick Collins,278,2021-11-05,Creative Commons Attribution 3.0 Unported,"['Blog', 'Contact', 'Gallery', 'Multilingual', 'Responsive']",https://github.com/pacollins/hugo-future-imperfect-slim/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-future-imperfect-slim/
Meghna Hugo,Hugo port of the Themefisher’s Meghna Template,https://d33wubrfki0l68.cloudfront.net/2bb6985b901d0015b92b2fb7a599254739178a26/105d4/themes/meghna-hugo/screenshot_hua08ed15aee9bdb7eb6d182ddeac95548_789341_750x500_fill_catmullrom_top_2.png,Themefisher,300,2021-09-01,MIT,"['Blog', 'Bootstrap', 'Company', 'Contact', 'Dark', 'Landing', 'Minimal', 'Portfolio', 'Responsive']",https://github.com/themefisher/meghna-hugo/graphs/contributors,https://themes.gohugo.io/themes/meghna-hugo/
Creative portfolio,Port of the creative portfolio theme,https://d33wubrfki0l68.cloudfront.net/8ac26dd757aacd983cd6cfd8d32d98ea49ec9e4d/aba99/themes/hugo-creative-portfolio-theme/screenshot_huae92bd9f36dca86a00d2df27da4a735b_565314_750x500_fill_catmullrom_top_2.png,Kishan B,342,2021-10-30,MIT,"['Minimal', 'Portfolio', 'Responsive']",https://github.com/kishaningithub/hugo-creative-portfolio-theme/pulls,https://themes.gohugo.io/themes/hugo-creative-portfolio-theme/
Clean White,"A clean, elegant blog theme for hugo",https://d33wubrfki0l68.cloudfront.net/16956bdf27c166c2769c60e207237ce9fe15e102/80847/themes/hugo-theme-cleanwhite/screenshot_hud39518ca948eca26996ff5971e1afa58_406590_750x500_fill_catmullrom_top_2.png,Huabing Zhao,352,2021-10-07,Apache,"['Blog', 'Light', 'Minimal', 'Responsive']",https://github.com/zhaohuabing/hugo-theme-cleanwhite/issues/115,https://themes.gohugo.io/themes/hugo-theme-cleanwhite/
LeaveIt,"A simple, clean blog theme for hugo.",https://d33wubrfki0l68.cloudfront.net/01035b27a180300d7bda1fc6b6fd1d50eb5e6749/ece4e/themes/leaveit/screenshot_hu9b0db31b2b5132f074ba06eea9ac65a8_165080_750x500_fill_catmullrom_top_2.png,LiuZhichao,376,2018-11-04,MIT,"['Blog', 'Dark', 'Gallery', 'Minimal', 'Responsive', 'recent release of Hugo.', 'Version Configuration', 'tag a new version.']",https://github.com/google/code-prettify,https://themes.gohugo.io/themes/leaveit/
Anatole,Anatole is a beautiful minimalist two-column hugo theme based on farbox-theme-Anatole.,https://d33wubrfki0l68.cloudfront.net/413371289a250d2cd0c405bc81ec7b6be9f02112/66f97/themes/anatole/screenshot_hu1d86c70d5c23821544504d1e612bea9c_140822_750x500_fill_catmullrom_top_2.png,Alexander Bilz,366,2021-11-03,MIT,"['Blog', 'Dark', 'Minimal', 'Personal', 'Responsive']",https://github.com/lxndrblz/anatole/blob/master/exampleSite/content/english/post/redirect.md,https://themes.gohugo.io/themes/anatole/
Call me Sam.,Simple And Minimalist theme for Hugo.,https://d33wubrfki0l68.cloudfront.net/e20a77229d2415382bd7f0a07715bcae59704f5a/82902/themes/hugo-theme-sam/screenshot_hu0eac4de1193800afe94a20994967d3a1_16242_750x500_fill_catmullrom_top_2.png,Victoria Drake,363,2020-11-14,Apache-2.0,"['Blog', 'Gallery', 'Minimal', 'Portfolio', 'Responsive']",https://github.com/victoriadrake/hugo-theme-sam/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-theme-sam/
m10c,A minimalistic (m10c) theme for bloggers,https://d33wubrfki0l68.cloudfront.net/48484deb7d49d4e18b2b9cc1c926d2773bf0ee64/12caf/themes/hugo-theme-m10c/screenshot_hu2893599ab56f678e40236c848f4dc2b9_151653_750x500_fill_catmullrom_top_2.png,vaga,281,2021-03-08,MIT,"['Blog', 'Dark', 'Minimal', 'Responsive']",https://github.com/feathericons/feather/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-theme-m10c/
Airspace Hugo,Hugo port of the Themefisher’s Airspace theme,https://d33wubrfki0l68.cloudfront.net/59939511f3cda77028df420561b6a738b472d38f/01404/themes/airspace-hugo/screenshot_hu98d62891f734521b42e8788211b928f1_772451_750x500_fill_catmullrom_top_2.png,Themefisher,260,2021-09-14,MIT,"['Blog', 'Bootstrap', 'Company', 'Light', 'Minimal', 'Multilingual', 'Portfolio', 'Responsive']",https://github.com/themefisher/airspace-hugo/graphs/contributors,https://themes.gohugo.io/themes/airspace-hugo/
Notepadium,"a fast Hugo theme, 100% JavaScript-free.",https://d33wubrfki0l68.cloudfront.net/e86055f2d70ae4edb5902f30af0e7c423f676b7d/c3fb1/themes/hugo-notepadium/screenshot_hu0be0849b62c5d4b0cffa15399794eeeb_295509_750x500_fill_catmullrom_top_2.png,lvv,276,2020-07-14,MIT,['Blog'],https://github.com/cntrump/hugo-notepadium,https://themes.gohugo.io/themes/hugo-notepadium/
Orbit,Responsive Resume/CV Theme for Developers,https://d33wubrfki0l68.cloudfront.net/4304987bd64e0f401f0c19801d43266b4e29e573/b01a7/themes/hugo-orbit-theme/screenshot_hu312b278c184e5b83a224ed009e8e9bb3_940798_750x500_fill_catmullrom_top_2.png,Pavel Kanyshev,235,2017-05-15,MIT,[],https://github.com/aerohub/hugo-orbit-theme,https://themes.gohugo.io/themes/hugo-orbit-theme/
Fuji,A minimal Hugo theme with nice theme color.,https://d33wubrfki0l68.cloudfront.net/23e43a1909667bf315073837b8f35a40d818e434/1a29e/themes/hugo-theme-fuji/screenshot_hua7e33cf978d42eb8f4f89a49522b4109_120146_750x500_fill_catmullrom_top_2.png,DSRKafuU,244,2021-06-09,Apache-2.0,"['Blog', 'Dark Mode', 'Minimal', 'Responsive']",https://github.com/dsrkafuu/hugo-theme-fuji/graphs/contributors,https://themes.gohugo.io/themes/hugo-theme-fuji/
Geekdoc,Hugo theme made for documentation,https://d33wubrfki0l68.cloudfront.net/b5237b91e21ca473f03a1a73c8b5da4f776a516e/afa37/themes/hugo-geekdoc/screenshot_hu13215bf10a5a05d3b04b1c32d41718b9_519816_750x500_fill_catmullrom_top_2.png,Robert Kaussow,223,2021-11-24,MIT,"['Docs', 'Responsive']",https://github.com/google/material-design-icons/blob/main/LICENSE,https://themes.gohugo.io/themes/hugo-geekdoc/
Github Style,github-style hugo theme,https://d33wubrfki0l68.cloudfront.net/d490308258f70b0c7cfa1c68deaedc09f99dfbd6/05d5d/themes/github-style/screenshot_hu9a34a7b7be3198315ac0644c125e1c4e_208578_750x500_fill_catmullrom_top_2.png,MeiK,237,2021-11-26,MIT,['Blog'],https://github.com/MeiK2333/github-style,https://themes.gohugo.io/themes/github-style/
Bilberry Hugo Theme,Bilberry is a premium Hugo theme with many great features. This is a Hugo adaptation and further optimization of the Lingonberry WordPress theme by Anders Norén.,https://d33wubrfki0l68.cloudfront.net/852840d7d7dae9284f8016368a584173385b717c/a1f1b/themes/bilberry-hugo-theme/screenshot_hu8c5da047ecbd33786236593dc22b9c07_114820_750x500_fill_catmullrom_top_2.png,Lednerb | Sascha Brendel,224,2021-11-08,MIT,"['Blog', 'Gallery', 'Multilingual', 'Personal', 'Responsive']",https://github.com/kentcdodds/all-contributors,https://themes.gohugo.io/themes/bilberry-hugo-theme/
Hugo Theme Pure,A powerful and pure theme for hugo~enjoy~,https://d33wubrfki0l68.cloudfront.net/f8d49090ce99aba74ec07940733775630ab13065/95440/themes/hugo-theme-pure/screenshot_hu669a3dcc90837cd640a561d5c303265a_66977_750x500_fill_catmullrom_top_2.png,xiaoheiah,230,2021-06-07,MIT,"['Blog', 'Dark', 'Light']",https://github.com/olOwOlo/hugo-theme-even,https://themes.gohugo.io/themes/hugo-theme-pure/
