theme,description,profile_link,author,github_stars,updated,license,theme_tags,theme-repo,theme-ref
"
Zdoc
","
Simple Hugo documentation theme.
",https://d33wubrfki0l68.cloudfront.net/bd818789dcff4ac3f724a5454bd1f59f50da14da/11c44/themes/hugo-theme-zdoc/screenshot_hua2ecfcdd8b19cf0be65560dd5c76ca72_276518_750x500_fill_catmullrom_top_3.png,"
zzossig
","
139
","
2020-11-05
","
MIT
","['\nDark\n', '\nDocs\n', '\nLight\n', '\nMultilingual\n', '\nResponsive\n']",https://github.com/zzossig/hugo-theme-zdoc,https://themes.gohugo.io/themes/hugo-theme-zdoc/
"
Vitae
","
Vitae is a feature-rich blog theme for Hugo that focuses on your content.
",https://d33wubrfki0l68.cloudfront.net/f4c23ab555b9585035f69e0dbb2db0210599e6db/306a9/themes/hugo-vitae/screenshot_hu38663cba4f26e06f8f71220d9f31926d_241002_750x500_fill_catmullrom_top_3.png,"
Benedikt 'dataCobra' Tuchen
","
106
","
2021-12-07
","
GPL-3.0-or-later
","['\nBlog\n', '\nLight\n', '\nMinimal\n', '\nResponsive\n']",https://github.com/dataCobra/hugo-vitae/blob/main/FEATURES.md,https://themes.gohugo.io/themes/hugo-vitae/
"
Slate
","
A speed dial theme
",https://d33wubrfki0l68.cloudfront.net/66f2de071cf37bf948fe91b7b9ab19d7d123d80f/47621/themes/slate/screenshot_hu84ad76af68df9c5d6f0163a2a067b043_560698_750x500_fill_catmullrom_top_3.png,"
Gus Esquivel
","
122
","
2017-05-30
","
MIT
",[],https://github.com/gesquive/hugo-slate-demo/blob/master/config.toml,https://themes.gohugo.io/themes/slate/
"
Vex
","
Vex by Themefisher ported to Hugo
",https://d33wubrfki0l68.cloudfront.net/d81ad743d50564972695db5afaf53e3b289e491e/15a19/themes/vex-hugo/screenshot_hu7f06353891f0f6d6cbfadba458557966_45966_750x500_fill_catmullrom_top_3.png,"
Themefisher
","
123
","
2020-07-05
","
CC-BY-3.0
","['\nBootstrap\n', '\nEcommerce\n', '\nLanding\n']",https://github.com/themefisher/vex-hugo/issues,https://themes.gohugo.io/themes/vex-hugo/
"
Base16
","
Base16 is a simple and colorful theme with the base16 eighties colorscheme
",https://d33wubrfki0l68.cloudfront.net/7c2feccf853e8c6550012768098e31b0e9687b22/655ad/themes/hugo-base16-theme/screenshot_hu70e5d0de939e14aca20086e1b5b71d19_136700_750x500_fill_catmullrom_top_3.png,"
Hylke Visser
","
110
","
2021-04-24
","
MIT
",['\nBlog\n'],https://github.com/htdvisser/hugo-base16-theme/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-base16-theme/
"
smol
","
Minimal Hugo theme using a Monospace font and without any tracking or external dependencies.
",https://d33wubrfki0l68.cloudfront.net/d085373c3a88fd45ec2ad24e6f78d80cf1ae4ad5/1b98d/themes/smol/screenshot_hu62b7b943e05503eb8faf23b75d16e675_74704_750x500_fill_catmullrom_top_3.png,"
morph
","
115
","
2021-08-10
","
MIT
","['\nBlog\n', '\nDark Mode\n', '\nLight\n', '\nMinimal\n', '\nResponsive\n']",https://github.com/colorchestra/smol/blob/master/LICENSE,https://themes.gohugo.io/themes/smol/
"
Lithium
","
Lithium minimal theme
",https://d33wubrfki0l68.cloudfront.net/3d80f7c36f8f6b7df20457272d044b3cc5faef59/ba964/themes/hugo-lithium-theme/screenshot_huf86cbfda82391d8e19c3b3bdb661cc37_50770_750x500_fill_catmullrom_top_3.png,"
Jonathan Rutheiser
","
113
","
2019-08-25
","
MIT
","['\nBlog\n', '\nrecent release of Hugo.\n', '\nVersion Configuration\n', '\ntag a new version.\n']",https://github.com/jrutheiser/hugo-lithium-theme/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-lithium-theme/
"
Nix
","
Simple theme for Hugo
",https://d33wubrfki0l68.cloudfront.net/a8f8775bb7f4ce801851778e290d74e39997dda7/0185d/themes/hugo-theme-nix/screenshot_hu75e9f98eab725d62cb4d4f8e906f08e6_88771_750x500_fill_catmullrom_top_3.png,"
Matúš Námešný
","
109
","
2021-05-23
","
MIT
","['\nBlog\n', '\nMinimal\n', '\nMultilingual\n']",https://github.com/LordMathis/hugo-theme-nix,https://themes.gohugo.io/themes/hugo-theme-nix/
"
Hugo Pacman Theme
",nil,https://d33wubrfki0l68.cloudfront.net/b55a4e24ccdfcc5066f7d8ac8f7e65eaa2ba507a/fbf2b/themes/hugo-pacman-theme/screenshot_hu7d998f8236bf13db636b4f3feac10039_297969_750x500_fill_catmullrom_top_3.png,"
coderzh
","
94
","
2021-12-18
","
MIT
","['\nBlog\n', '\nResponsive\n']",https://github.com/coderzh/hugo-pacman-theme,https://themes.gohugo.io/themes/hugo-pacman-theme/
"
NEDERBURG
","
Port of Tracks Theme https://www.competethemes.com/tracks/
",https://d33wubrfki0l68.cloudfront.net/b11eeb5d155c432dac0a3ce4fca756287e66f91c/f5a48/themes/hugo-nederburg-theme/screenshot_hu70fbe3b12efeab007a80c034bd81d91f_715776_750x500_fill_catmullrom_top_3.png,"
Göran Svensson
","
107
","
2019-07-12
","
GPL-2
","['\nBlog\n', '\nMinimal\n', '\nResponsive\n', '\nrecent release of Hugo.\n', '\nVersion Configuration\n', '\ntag a new version.\n']",https://github.com/appernetic/hugo-nederburg-theme/pulls,https://themes.gohugo.io/themes/hugo-nederburg-theme/
"
Amperage
","
Blazing fast SEO optimized theme with native AMP, structured data, search, service workers and i18n out of the box!
",https://d33wubrfki0l68.cloudfront.net/0fae58cf7b0cbef0388ac0d5d220af2af422af84/23913/themes/amperage/screenshot_hu6b495f57fc8dde58ca6d5e776434df10_1175383_750x500_fill_catmullrom_top_3.png,"
Asur Bernardo
","
102
","
2020-12-10
","
MIT
","['\nBlog\n', '\nLight\n', '\nMinimal\n', '\nMultilingual\n', '\nPersonal\n', '\nResponsive\n']",https://github.com/asurbernardo/blog-comments,https://themes.gohugo.io/themes/amperage/
"
Slim
","
A slim minimal theme for Hugo.
",https://d33wubrfki0l68.cloudfront.net/0b6b330bfa7528e0c2e0e08767c072e208c6b59c/67c55/themes/hugo-theme-slim/screenshot_hua61d127934fe45d3fa74cbbfbf315d05_150440_750x500_fill_catmullrom_top_3.png,"
Zhe Zhang
","
106
","
2019-09-20
","
MIT
","['\nBlog\n', '\nMinimal\n', '\nrecent release of Hugo.\n', '\nVersion Configuration\n', '\ntag a new version.\n']",https://github.com/zhe/hugo-theme-slim/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-theme-slim/
"
Hugo-Primer
","
A simple and beautiful Hugo theme based on GitHub's Primer CSS
",https://d33wubrfki0l68.cloudfront.net/7cae135cd482aff24cfd36d3372b143f8368469e/8c7a6/themes/hugo-primer/screenshot_hu18e7f6ac4919cabd5aabb20c6e7c1666_268995_750x500_fill_catmullrom_top_3.png,"
Qiushi Pan
","
114
","
2019-12-02
","
MIT
","['\nBlog\n', '\nLight\n', '\nMinimal\n', '\nPersonal\n', '\nrecent release of Hugo.\n', '\nVersion Configuration\n', '\ntag a new version.\n']",https://github.com/qqhann/hugo-primer,https://themes.gohugo.io/themes/hugo-primer/
"
Forty
","
A portfolio/blog website built for companies or personal freelancers.
",https://d33wubrfki0l68.cloudfront.net/72ae4fd249b132f0c137f263e596ae6598463e02/f7c8c/themes/forty/screenshot_huec0c1d12508adeceeb0ae13e5fa8a7e4_1340743_750x500_fill_catmullrom_top_3.png,"
Marcus Virginia
","
110
","
2019-04-30
","
Creative Commons Attribution 3.0
","['\nBlog\n', '\nCompany\n', '\nContact\n', '\nPortfolio\n', '\nrecent release of Hugo.\n', '\nVersion Configuration\n', '\ntag a new version.\n']",https://github.com/MarcusVirg/forty,https://themes.gohugo.io/themes/forty/
"
Navigator Hugo
","
Hugo port of the Themefisher’s Navigator Template
",https://d33wubrfki0l68.cloudfront.net/7bac65b6244fe5037d48a5aca8d76a050ec619d4/dd6f1/themes/navigator-hugo/screenshot_hu09b303979e8ad528902ed9be5b4aa64b_297835_750x500_fill_catmullrom_top_3.png,"
Themefisher
","
113
","
2021-09-08
","
MIT
","['\nBlog\n', '\nBootstrap\n', '\nCompany\n', '\nContact\n', '\nDark\n', '\nLanding\n', '\nMinimal\n', '\nMultilingual\n', '\nResponsive\n']",https://github.com/gethugothemes/navigator-hugo/graphs/contributors,https://themes.gohugo.io/themes/navigator-hugo/
