theme,description,profile_link,author,github_stars,updated,license,theme_tags,theme-repo,theme-ref
"
hello-friend-ng
","
A simple theme for Hugo. That's it.
",https://d33wubrfki0l68.cloudfront.net/2bc2bb62f363037e2ac7729fb3289afbfad574e1/b1903/themes/hugo-theme-hello-friend-ng/screenshot_hu4843bf1335e89e1d731fe4eaba014523_55195_750x500_fill_catmullrom_top_3.png,"
Djordje Atlialp
","
1070
","
2021-10-15
","
MIT
","['\nBlog\n', '\nDark\n', '\nLight\n', '\nMinimal\n', '\nMultilingual\n', '\nPersonal\n', '\nResponsive\n']",https://github.com/rhazdon/hugo-theme-hello-friend-ng/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-theme-hello-friend-ng/
"
Stack
","
Card-style Hugo theme designed for bloggers
",https://d33wubrfki0l68.cloudfront.net/c317d25a2453f34a8f7cd26a5511ebb488639b81/e2299/themes/hugo-theme-stack/screenshot_hu3a3d43638442b4410f8a7ad58b7acc37_51344_750x500_fill_catmullrom_top_3.png,"
Jimmy Cai
","
1279
","
2021-12-28
","
GPL-3.0-only
","['\nBlog\n', '\nDark\n', '\nLight\n', '\nPersonal\n', '\nResponsive\n']",https://github.com/MunifTanjim/minimo/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-theme-stack/
"
LoveIt
","
A Clean, Elegant but Advanced Hugo Theme for Hugo.
",https://d33wubrfki0l68.cloudfront.net/d517dbad40cc0ab9de5ce443a95da428200bb5ea/3716e/themes/loveit/screenshot_hu19f9862791b119a6e319e806933fbd42_72251_750x500_fill_catmullrom_top_3.png,"
Dillon
","
1483
","
2020-05-29
","
MIT
","['\nBlog\n', '\nDark\n', '\nResponsive\n']",https://github.com/dillonzq/LoveIt/raw/master/images/Wechat.jpg,https://themes.gohugo.io/themes/loveit/
"
Beautiful Hugo
","
An adaptation of the Beautiful Jekyll theme
",https://d33wubrfki0l68.cloudfront.net/b94cccb8db971fe92a18ba7d2ba6d90c7a36da5c/7e9fb/themes/beautifulhugo/screenshot_hu6330ad66f8b5e1a9cc0e32928b0427e6_102241_750x500_fill_catmullrom_top_3.png,"
halogenica
","
870
","
2021-01-06
","
MIT
","['\nBlog\n', '\nBootstrap\n', '\nCompany\n', '\nLight\n', '\nMinimal\n', '\nMultilingual\n', '\nPortfolio\n', '\nResponsive\n']",https://github.com/halogenica/Hugo-BeautifulHugo/blob/master/LICENSE,https://themes.gohugo.io/themes/beautifulhugo/
"
Even
","
A super concise theme for Hugo
",https://d33wubrfki0l68.cloudfront.net/dd0c8d75f7eb65c60a35462695733bb7718ea6de/28842/themes/hugo-theme-even/screenshot_huaa330ce4929f88668efe3422b762902a_47266_750x500_fill_catmullrom_top_3.png,"
olOwOlo
","
1586
","
2021-01-17
","
MIT
","['\nBlog\n', '\nResponsive\n']",https://github.com/laozhu/hugo-nuo,https://themes.gohugo.io/themes/hugo-theme-even/
"
Academic
","
Use the website builder to easily build your site with 50+ widgets and deploy with one click! Fully customize your site with themes, plugins, and language packs.
",https://d33wubrfki0l68.cloudfront.net/10beaf89a7c8ca802a32aaf5362b4acfd168f36a/4054b/themes/starter-academic/screenshot_hud7608c6490536ac8ab050755ccd1fa70_104518_750x500_fill_catmullrom_top_3.png,"
George Cushen
","
1680
","
2021-07-24
","
MIT
","['\nBlog\n', '\nCompany\n', '\nContact\n', '\nDark\n', '\nDocs\n', '\nGallery\n', '\nLanding\n', '\nLight\n', '\nMinimal\n', '\nMultilingual\n', '\nPersonal\n', '\nPortfolio\n', '\nResponsive\n']",https://github.com/igrigorik/ga-beacon,https://themes.gohugo.io/themes/starter-academic/
"
Paper
","
A simple, clean, flexible Hugo theme
",https://d33wubrfki0l68.cloudfront.net/9b0e5f569cbcee881346af409f599de614e1d591/275da/themes/hugo-paper/screenshot_hufaa35f8e2d1d966c4b7cea7efc0c1d4d_344701_750x500_fill_catmullrom_top_3.png,"
nanxiaobei
","
717
","
2021-12-21
","
MIT
","['\nBlog\n', '\nLight\n', '\nResponsive\n']",https://github.com/nanxiaobei/hugo-paper/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-paper/
"
Docsy
","
A Hugo theme for technical documentation sites
",https://d33wubrfki0l68.cloudfront.net/b993080deb8168c9c56909bb8a24b13bc4b4960a/7cf35/themes/docsy/screenshot_hua9135189238b9d5f65960deb21cd5534_311057_750x500_fill_catmullrom_top_3.png,"
The Docsy Authors
","
1422
","
2021-12-21
","
Apache 2.0
","['\nDocs\n', '\nMultilingual\n', '\nResponsive\n']",https://github.com/google/docsy/blob/master/LICENSE,https://themes.gohugo.io/themes/docsy/
"
Learn
","
Documentation theme for Hugo, based on Grav Learn theme
",https://d33wubrfki0l68.cloudfront.net/c588abe3dad8ada4945357cad35f455ff3c99e26/97a5c/themes/hugo-theme-learn/screenshot_hufe2da8fc83ad30ec674fecf911d5e6d9_284162_750x500_fill_catmullrom_top_3.png,"
Mathieu Cornic
","
1297
","
2021-10-28
","
MIT
",['\nDocs\n'],https://github.com/github-tools/github-release-notes,https://themes.gohugo.io/themes/hugo-theme-learn/
"
Hermit
","
A minimal and fast hugo theme for bloggers.
",https://d33wubrfki0l68.cloudfront.net/7317f39d511bde620fa5a6ab43f89aecb624c00f/99381/themes/hermit/screenshot_hud70f356643620209eeacd81031a6af80_48569_750x500_fill_catmullrom_top_3.png,"
Track3
","
883
","
2019-01-04
","
MIT
","['\nBlog\n', '\nDark\n', '\nMinimal\n', '\nResponsive\n', '\nrecent release of Hugo.\n', '\nVersion Configuration\n', '\ntag a new version.\n']",https://github.com/feathericons/feather/blob/master/LICENSE,https://themes.gohugo.io/themes/hermit/
"
Tranquilpeak
","
A gorgeous responsive theme for Hugo blog framework
",https://d33wubrfki0l68.cloudfront.net/3cd8c18359d9c5fe0e08aa42a7939334ed2c1c74/6fa24/themes/hugo-tranquilpeak-theme/screenshot_hu817c30019232711b6a0f59fbee583454_330151_750x500_fill_catmullrom_top_3.png,"
Thibaud Leprêtre
","
752
","
2021-10-06
","
GNU General Public License v3.0
","['\nBlog\n', '\nMinimal\n', '\nPersonal\n', '\nResponsive\n']",https://github.com/kakawait/hugo-tranquilpeak-theme/blob/master/LICENSE,https://themes.gohugo.io/themes/hugo-tranquilpeak-theme/
"
terminal
","
A simple, retro theme for Hugo.
",https://d33wubrfki0l68.cloudfront.net/acfb79c0e748e38359c71051102ea55709eda19f/92baf/themes/hugo-theme-terminal/screenshot_hu203da575df3dd0ed6f5c3ee4b3c3d1c5_448158_750x500_fill_catmullrom_top_3.png,"
panr
","
1071
","
2021-11-10
","
MIT
","['\nBlog\n', '\nDark\n', '\nLanding\n', '\nMinimal\n', '\nMultilingual\n', '\nPersonal\n', '\nResponsive\n']",https://github.com/panr/hugo-theme-terminal/blob/master/LICENSE.md,https://themes.gohugo.io/themes/hugo-theme-terminal/
